,,,success_auc,success_auc,success_auc,success_auc,final_success,final_success,final_success,final_success,frames_to_50,frames_to_50,frames_to_50,frames_to_50,frames_to_90,frames_to_90,frames_to_90,frames_to_90,first_success_step,first_success_step,first_success_step,first_success_step,wall_time_s,wall_time_s,wall_time_s,wall_time_s,final_entropy,final_entropy,final_entropy,final_entropy,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae
,,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
env_tag,beta,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redbluedoors6x6,0.75,distill,0.0486444175085929,0.0824023667758412,0.08763532546138249,5,0.07,0.26999999999999996,0.4138236339311712,5,836064.0,836064.0,,1,903600.0,903600.0,,1,11344.0,10428.8,5845.65643875861,5,4651.7,4505.68,643.3977440122092,5,0.9240020327270032,0.8594311164692044,0.3721654784007701,5,0.0102530416404866,0.04325698292111718,0.06917007409614279,5,,,,0
redbluedoors6x6,0.75,queried,0.4237802218995948,0.34205626068282774,0.20322380227412146,5,1.0,0.828,0.3846036921299638,5,617024.0,624540.0,135768.60400941988,4,672080.0,679760.0,146907.04122902572,4,11200.0,8864.0,3541.8232592832746,5,3920.2,3901.7599999999998,821.2635192190143,5,0.1374805304221809,0.43422722946852443,0.6897134588845869,5,0.3518806763009082,0.29002399040383836,0.19071015464351168,5,,,,0
redbluedoors6x6,1.5,distill,0.016623206658954,0.014956990775841181,0.008569280571417577,5,0.0,0.002,0.004472135954999579,5,,,,0,,,,0,11344.0,10428.8,5845.65643875861,5,5038.4,4844.0599999999995,612.3011824257737,5,0.8486295975744724,0.7429136488586664,0.16231101773093554,5,0.0043125606900096,0.0037670646027302803,0.0021970596815158697,5,,,,0
redbluedoors6x6,1.5,queried,0.349256641143315,0.36431153419206364,0.24321478783096945,5,1.0,0.818,0.40696437190496176,5,575568.0,593356.0,186964.2469350758,4,640256.0,663244.0,197163.62953310294,4,11616.0,9107.2,3765.279697446127,5,3762.8,3764.6800000000003,890.6013344926,5,0.119136992841959,0.46498587098903954,0.6414599669582658,5,0.3084266293482606,0.3111041297766607,0.23713383263456875,5,,,,0
taxi,0.25,distill,0.37379656,0.4004288363350871,0.08834196060854864,5,0.67,0.724,0.17242389625571045,5,489136.0,473808.0,51469.18114755664,5,720576.0,720576.0,,1,7632.0,15462.4,19853.41353017158,5,386.8,373.82,81.85638032554336,5,0.3936020191758871,0.4300234930589795,0.16921438048167606,5,1.0,1.0,0.0,5,,,,0
taxi,0.25,queried,0.4307716117529188,0.4392973506856709,0.08293532491297538,5,0.73,0.796,0.1427585373979434,5,424240.0,457478.4,72028.5299919414,5,606080.0,606080.0,198872.3679951541,2,7632.0,8979.2,5571.980186612296,5,356.8,353.26,63.70021977984062,5,0.3696157298982143,0.42997129410505297,0.16599890848569632,5,1.0,1.0,0.0,5,,,,0
taxi,0.75,distill,0.432387492584756,0.3987546443350871,0.13711345104905334,5,0.74,0.74,0.21874642854227358,5,432384.0,504995.2,158664.27586322007,5,723264.0,723264.0,171809.97726558257,2,7632.0,15462.4,19853.41353017158,5,401.1,375.82,83.54631649570196,5,0.3380407560616731,0.49990730844438075,0.40278541691818426,5,1.0,1.0,0.0,5,,,,0
taxi,0.75,queried,0.4530325325847559,0.4442526483985508,0.06832183772620701,5,0.75,0.736,0.08734987120768983,5,414384.0,419683.2,66359.51093249557,5,,,,0,7632.0,24953.6,34287.138766598764,5,361.7,354.65999999999997,74.09826583665773,5,0.5865009315311909,0.47672854363918304,0.18798520335154456,5,1.0,1.0,0.0,5,,,,0
taxi,1.5,distill,0.29461328,0.3161811563350871,0.07226742979820919,5,0.67,0.744,0.21279097725232618,5,573472.0,604060.8,97515.84069883211,5,824304.0,824304.0,47698.59503171975,2,7632.0,15462.4,19853.41353017158,5,391.5,381.14,68.04328034420445,5,0.7572614364326,0.7390993893146515,0.1430564560752647,5,1.0,1.0,0.0,5,,,,0
taxi,1.5,queried,0.4279922399999999,0.43691814551111124,0.04754869847985361,5,0.68,0.72,0.1276714533480371,5,418608.0,409596.8,58247.192303148826,5,695184.0,695184.0,,1,7632.0,17673.6,17192.156723343352,5,366.9,355.1,72.1749263941433,5,0.3839615695178509,0.3587698044255375,0.10112633589184132,5,1.0,1.0,0.0,5,,,,0
